,FileName,ARCH,ASLR,DEP,Authenticode,StrongNaming,SafeSEH,ControlFlowGuard
2581,C:\windows\SysWOW64\TsWpfWrp.exe,I386,True,False,True,True,,False
2582,C:\windows\SysWOW64\ttdinject.exe,I386,True,True,True,,True,False
2583,C:\windows\SysWOW64\ttdloader.dll,I386,True,True,True,,,False
2584,C:\windows\SysWOW64\ttdloaderwow64.dll,I386,True,True,True,,,False
2604,C:\windows\SysWOW64\tzres.dll,I386,True,True,True,,,False
2649,C:\windows\SysWOW64\UserDataAccessRes.dll,I386,True,True,True,,,False
2671,C:\windows\SysWOW64\uxlibres.dll,I386,True,True,True,,,False
2676,C:\windows\SysWOW64\vbajet32.dll,I386,False,False,True,,False,False
2678,C:\windows\SysWOW64\vcamp120.dll,I386,True,True,True,,True,False
2682,C:\windows\SysWOW64\vccorlib120.dll,I386,True,True,True,,True,False
2685,C:\windows\SysWOW64\vcomp120.dll,I386,True,True,True,,True,False
2686,C:\windows\SysWOW64\vcomp140.dll,I386,True,True,True,,True,False
2687,C:\windows\SysWOW64\vcomp140d.dll,I386,True,True,True,,True,False
2717,C:\windows\SysWOW64\vscover160.dll,I386,True,True,True,,True,False
2723,C:\windows\SysWOW64\VsGraphicsHelper.dll,I386,True,True,True,,True,False
2726,C:\windows\SysWOW64\vsjitdebugger.exe,I386,True,True,True,,True,False
2728,C:\windows\SysWOW64\VSPerf160.dll,I386,True,True,True,,True,False
2736,C:\windows\SysWOW64\VXPLib.dll,I386,False,False,False,,False,False
2787,C:\windows\SysWOW64\WibuCm32.dll,I386,True,True,True,,True,False
2788,C:\windows\SysWOW64\wibucmJNI.dll,I386,True,True,True,,True,False
2789,C:\windows\SysWOW64\WibuXpm4J32.dll,I386,True,True,True,,True,False
2955,C:\windows\SysWOW64\WindowsAccessBridge-32.dll,I386,True,True,True,,True,False
2977,C:\windows\SysWOW64\winnlsres.dll,I386,True,True,True,,,False
2984,C:\windows\SysWOW64\winrsmgr.dll,I386,True,True,True,,,False
3026,C:\windows\SysWOW64\wlidres.dll,I386,True,True,True,,,False
3034,C:\windows\SysWOW64\wmerror.dll,I386,True,True,True,,,False
3047,C:\windows\SysWOW64\wmploc.DLL,I386,True,True,True,,,False
3062,C:\windows\SysWOW64\WorkFoldersRes.dll,I386,True,True,True,,,False
3104,C:\windows\SysWOW64\WsmRes.dll,I386,True,True,True,,,False
3143,C:\windows\SysWOW64\XtuApplication.dll,I386,True,True,True,True,,False
3144,C:\windows\SysWOW64\XtuApplicationInterfaces.dll,I386,True,True,True,True,,False
3145,C:\windows\SysWOW64\XtuCoreServer.dll,I386,True,True,True,True,,False
3146,C:\windows\SysWOW64\XtuInterface.dll,I386,True,True,True,True,,False
3147,C:\windows\SysWOW64\XtuService.exe,I386,True,True,True,True,,False
